tanggal,waktu,id,produk
06/14/2023 17:39:00,05:39:00 PM,136,Tusuk Sate Panjang
06/14/2023 17:39:00,05:39:00 PM,136,Plastik Tomat 10x30
06/14/2023 17:43:00,05:43:00 PM,137,Sterofoam Nasi
06/15/2023 06:57:00,06:57:00 AM,138,Fermipan Sachet
06/15/2023 06:57:00,06:57:00 AM,138,Segitiga Biru Kemasan 1kg
06/15/2023 06:57:00,06:57:00 AM,138,Palmia 200gr
06/15/2023 06:57:00,06:57:00 AM,138,Selai Stroberi 250gr
06/15/2023 07:35:00,07:35:00 AM,139,Sterofoam Bubur
06/15/2023 10:52:00,10:52:00 AM,140,Wayang 12x25x05
06/15/2023 11:13:00,11:13:00 AM,141,Sterofoam Seblak
06/15/2023 13:18:00,01:18:00 PM,142,Cup Bryan
06/15/2023 13:18:00,01:18:00 PM,142,Cup Bryan
06/15/2023 14:32:00,02:32:00 PM,143,Kacang Ijo
06/15/2023 14:32:00,02:32:00 PM,143,Tepung Beras Rosebrand
06/15/2023 14:32:00,02:32:00 PM,143,Tepung Tapioka
06/15/2023 14:32:00,02:32:00 PM,143,Sun Kara
06/15/2023 14:34:00,02:34:00 PM,144,Claris Oren
06/15/2023 14:34:00,02:34:00 PM,144,Selai Coklat Tulip 250gr
06/15/2023 14:35:00,02:35:00 PM,145,Plastik Tahan Panas 15x30
06/15/2023 14:35:00,02:35:00 PM,145,Bader 12x25
06/15/2023 15:47:00,03:47:00 PM,146,Wayang 10x20x05
06/15/2023 18:40:00,06:40:00 PM,147,Mika 4xc
06/16/2023 07:41:00,07:41:00 AM,148,Plastik Tomat 10x30
06/16/2023 07:42:00,07:42:00 AM,149,Collata Coklat Blok 500gr
06/16/2023 07:42:00,07:42:00 AM,149,Collata Coklat Blok 500gr
06/16/2023 07:42:00,07:42:00 AM,149,Claris Merah
06/16/2023 07:42:00,07:42:00 AM,149,Claris Merah
06/16/2023 07:42:00,07:42:00 AM,149,Claris Merah
06/16/2023 07:43:00,07:43:00 AM,150,Thinwall 500ml
06/16/2023 07:43:00,07:43:00 AM,150,Kresek Tomat 24
06/16/2023 07:44:00,07:44:00 AM,151,Buldozer 15 Putih
06/16/2023 08:50:00,08:50:00 AM,152,Selai Coklat Tulip 250gr
06/16/2023 08:50:00,08:50:00 AM,152,Tepung Roti 250gr
06/16/2023 11:03:00,11:03:00 AM,153,Sterofoam Seblak
06/16/2023 14:22:00,02:22:00 PM,154,Sterofoam Mangkok Besar
06/16/2023 14:22:00,02:22:00 PM,154,Sterofoam Seblak
06/17/2023 07:07:00,07:07:00 AM,155,Plastik Klip 12x20
06/17/2023 07:08:00,07:08:00 AM,156,Plastik Klip 5x8
06/17/2023 07:08:00,07:08:00 AM,156,Forvita 500gr
06/17/2023 07:08:00,07:08:00 AM,156,Kresek Tomat 24
06/17/2023 09:15:00,09:15:00 AM,157,Sterofoam Seblak
06/17/2023 09:29:00,09:29:00 AM,158,Tusuk Sate Panjang
06/17/2023 11:43:00,11:43:00 AM,159,Pewarna Merah Cabe
06/17/2023 12:59:00,12:59:00 PM,160,Plastik Tahan Panas 15x30
06/17/2023 13:08:00,01:08:00 PM,161,Dus Tinggi Uk 30
06/17/2023 13:10:00,01:10:00 PM,162,Wayang 8x15x05
06/17/2023 13:26:00,01:26:00 PM,163,Tusuk Sate Pendek
06/17/2023 14:45:00,02:45:00 PM,164,Wincheez
06/17/2023 14:45:00,02:45:00 PM,164,Diamond Coklat Blok
06/17/2023 14:45:00,02:45:00 PM,164,Tepung Tapioka
06/17/2023 15:36:00,03:36:00 PM,165,Plastik Klip 12x20
06/17/2023 15:36:00,03:36:00 PM,165,Kresek Tomat 15
06/17/2023 15:40:00,03:40:00 PM,166,Diamond UHT 1L
06/18/2023 08:52:00,08:52:00 AM,167,Sterofoam Seblak
06/18/2023 09:22:00,09:22:00 AM,168,Foil Oval
06/18/2023 09:22:00,09:22:00 AM,168,Diamond UHT 1L
06/18/2023 09:22:00,09:22:00 AM,168,Wincheez
06/18/2023 09:40:00,09:40:00 AM,169,Tepung Roti 250gr
06/18/2023 09:40:00,09:40:00 AM,169,Tepung Roti 250gr
06/18/2023 13:46:00,01:46:00 PM,170,Bader 15x30
06/19/2023 07:48:00,07:48:00 AM,171,Wincheez
06/19/2023 07:48:00,07:48:00 AM,171,Sterofoam Seblak
06/19/2023 07:49:00,07:49:00 AM,172,Palmia 200gr
06/19/2023 07:49:00,07:49:00 AM,172,Palmia 200gr
06/19/2023 07:49:00,07:49:00 AM,172,Mika Bolu Uk 22
